"run","n_findings","n_citations","n_unresolved_citations","n_critic_events","terminal_status","old_bucket","bucket_v2"
"dfirmadness-001-desktop/dfirmadness-001-desktop-001","2","4","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"openuni22-server-cdrive/openuni22-server-cdrive-001","1","1","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"openuni22-server/openuni22-server-001","1","0","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-base-admin-memonly/srl-2018-base-admin-memonly-001","1","0","0","0","MISSING","X","MISSING_TERMINAL"
"srl-2018-base-dc/srl-2018-base-dc-001","1","0","0","0","SUCCESS","A","A"
"srl-2018-base-dc/srl-2018-base-dc-002","1","0","0","0","SUCCESS","A","A"
"srl-2018-base-dc/srl-2018-base-dc-003","1","0","0","0","SUCCESS","A","A"
"srl-2018-base-file-dual/srl-2018-base-file-dual-001","4","10","0","0","SUCCESS","X","A"
"srl-2018-base-file/srl-2018-base-file-001","1","1","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-base-file/srl-2018-base-file-002","1","2","0","0","SUCCESS","A","A"
"srl-2018-base-file/srl-2018-base-file-003","3","13","0","0","SUCCESS","A","A"
"srl-2018-base-file/srl-2018-base-file-004","2","2","0","0","SUCCESS","A","A"
"srl-2018-base-rd-01-dual/srl-2018-base-rd-01-dual-003","4","9","0","0","QUARANTINED.audit","X","D"
"srl-2018-base-rd-01/srl-2018-base-rd-01-001","2","2","0","0","QUARANTINED","D","D"
"srl-2018-base-rd-01/srl-2018-base-rd-01-002","3","3","0","0","QUARANTINED.audit","X","D"
"srl-2018-base-rd-02-dual/srl-2018-base-rd-02-dual-001","5","9","0","0","QUARANTINED.audit","C","D"
"srl-2018-base-rd-02-dual/srl-2018-base-rd-02-dual-002","3","9","0","0","QUARANTINED.audit","X","D"
"srl-2018-base-rd-02/srl-2018-base-rd-02-001","3","4","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-base-rd-02/srl-2018-base-rd-02-002","2","4","0","0","QUARANTINED","D","D"
"srl-2018-base-rd-02/srl-2018-base-rd-02-003","4","6","0","0","QUARANTINED","D","D"
"srl-2018-base-rd-03-memonly/srl-2018-base-rd-03-memonly-004","3","6","0","0","HUMAN_APPROVED","X","A"
"srl-2018-base-rd-04-memonly/srl-2018-base-rd-04-memonly-002","4","14","0","0","MISSING","X","MISSING_TERMINAL"
"srl-2018-base-rd-05-memonly/srl-2018-base-rd-05-memonly-001","1","0","0","0","SUCCESS","A","A"
"srl-2018-base-rd-05-memonly/srl-2018-base-rd-05-memonly-003","4","20","0","0","HUMAN_APPROVED","X","A"
"srl-2018-base-rd01-memonly/srl-2018-base-rd01-memonly-001","3","13","0","0","SUCCESS","A","A"
"srl-2018-base-wkstn-01-dual/srl-2018-base-wkstn-01-dual-002","1","0","0","0","QUARANTINED","D","D"
"srl-2018-base-wkstn-01-dual/srl-2018-base-wkstn-01-dual-003","5","13","0","0","QUARANTINED.audit","C","D"
"srl-2018-base-wkstn-01/srl-2018-base-wkstn-01-001","1","0","0","0","QUARANTINED","D","D"
"srl-2018-base-wkstn-01/srl-2018-base-wkstn-01-002","1","0","0","0","QUARANTINED.audit","X","D"
"srl-2018-base-wkstn-02-memonly/srl-2018-base-wkstn-02-memonly-001","1","5","0","0","SUCCESS","A","A"
"srl-2018-base-wkstn-02-memonly/srl-2018-base-wkstn-02-memonly-003","1","5","0","0","SUCCESS","A","A"
"srl-2018-base-wkstn-03-memonly/srl-2018-base-wkstn-03-memonly-001","7","20","0","0","HUMAN_APPROVED","C","A"
"srl-2018-base-wkstn-04-memonly/srl-2018-base-wkstn-04-memonly-001","4","19","0","0","HUMAN_APPROVED","X","A"
"srl-2018-base-wkstn-05-dual/srl-2018-base-wkstn-05-dual-002","4","11","0","0","SUCCESS","X","A"
"srl-2018-base-wkstn-05-memonly/srl-2018-base-wkstn-05-memonly-001","3","17","0","0","SUCCESS","A","A"
"srl-2018-base-wkstn-05/srl-2018-base-wkstn-05-001","4","4","0","0","SUCCESS","X","A"
"srl-2018-base-wkstn-05/srl-2018-base-wkstn-05-002","2","2","0","0","SUCCESS","A","A"
"srl-2018-base-wkstn-06-memonly/srl-2018-base-wkstn-06-memonly-001","1","0","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-base-wkstn-06-memonly/srl-2018-base-wkstn-06-memonly-002","3","7","0","0","HUMAN_APPROVED","X","A"
"srl-2018-dmz-ftp/srl-2018-dmz-ftp-001","2","4","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-dmz-ftp/srl-2018-dmz-ftp-002","2","2","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-dmz-ftp/srl-2018-dmz-ftp-003","2","2","0","0","SUCCESS","A","A"
"srl-2018-wkstn-05/srl-2018-wkstn-05-001","2","2","0","0","HUMAN_REVIEW","X","B_PENDING_ADJUDICATION"
"srl-2018-wkstn-05/srl-2018-wkstn-05-003","2","2","0","0","SUCCESS","A","A"
"srl-2018-wkstn-05/srl-2018-wkstn-05-004","2","4","0","0","SUCCESS","A","A"
"srl-2018-wkstn-05/srl-2018-wkstn-05-008","5","14","1","0","HUMAN_REVIEW.audit","B","B"
